"Disrtict: Bangalore Urban Institutions address and google link details."
"Sl","Taluk","Sl","Hospital Detail","Place","Address","google links","Name of the Doctor","Phone no","Working hours","Facilities available"
"N","","No","","","","","","","",""
"o","","","","","","","","","",""
"1","Bangalore North","1","Super speciality hospital","Cantonment","Government Veterinary Hospital,Vasanth Nagar,Opposite to
cantonment Railway station, Bengaluru,Bangalore north
taluk, Bangalore,560051","https://goo.gl/maps/sbFUaBaUUJ9usUuP6","Dr Nageshappa","9448087826","9am -1pm and 3pm-
5pm on weekdays.
9am to 1pm on","All specialised Treatments
Available for
gynaecology,surgery,medicine"
"","","2","Veterinary Hospital","Malleshwaram","Government Veterinary Hospital,11 th cross,Karuna","https://maps.app.goo.gl/YkqQ1eayjs1C9vR98","Dr venkatesh K.M","9731144556","9am -1Hpomlidaanyds 3pm-","cGaesneesrwalitThreXa-trmaye,nstcaAnnndinMgiannodr"
"","","","","","complex,Malleshwara, Bengaluru, Bangalore north taluk,
Bangalore,560003","","","","5pm on weekdays.
9am to 1pm on","surgeries"
"","","3","Veterinary Hospital","Hesaraghatta","Government Veterinary Hospital,Hesaraghatta,Bangalore","https://maps.app.goo.gl/q9w6rrj5wFzADAsP6","Dr Vasudev","9448754695","9am -1Hpomlidaanyds 3pm-","General Treatment And Minor"
"","","","","","north taluk, Bangalore,560088","","","","5pm on weekdays.","surgeries"
"","","","","","","","","","9am to 1pm on",""
"","","4","Veterinary Hospital","Rajajinagara","Government Veterinary Hospital,64/1, 3rd, 15th Main Rd,","https://maps.app.goo.gl/3uPD7o6xD8B4TFri8","Dr M H Reddy","9900229973","9am -1Hpomlidaanyds 3pm-","General Treatment And Minor"
"","","","","","opp. to Vets Hospital, Y Block, Rajajinagar, Bengaluru,
Karnataka 560010","","","","5pm on weekdays.
9am to 1pm on","surgeries"
"","","5","Veterinary Hospital","Chikkajala","Government Veterinary Hospital,Chikkajala, Bengaluru,","https://goo.gl/maps/VFukNpkntJwDx8Kk8","Dr Sudarshan","8217573732","9am -1Hpomlidaanyds 3pm-","General Treatment And Minor"
"","","","","","Bangalore north taluk, Bangalore","","","","5pm on weekdays.","surgeries"
"","","","","","","","","","9am to 1pm on",""
"","","6","Veterinary Hospital","Byatha","Government Veterinary Dispensary,Byatha,Bangalore north","https://maps.app.goo.gl/UpTyhky88affgDmw6","Dr Vinutha gurukar","9886281543","9am -1Hpomlidaanyds 3pm-","General Treatment And Minor"
"","","","","","taluk, Bangalore","","","","5pm on weekdays.","surgeries"
"","","","","","","","","","9am to 1pm on",""
"","","7","Veterinary Hospital","Bettahalasuru","Government Veterinary Dispensary,Bettahalasuru, Bangalore","https://maps.app.goo.gl/p4toPKLBK9JXrff68","Dr Kantharaju","8073939905","9am -1Hpomlidaanyds 3pm-","General Treatment And Minor"
"","","","","","north taluk, Bangalore","","","","5pm on weekdays.","surgeries"
"","","","","","","","","","9am to 1pm on",""
"","","8","Veterinary Hospital","Jalahalli","Government Veterinary Dispensary,28, 5th Cross, A.K.Colony,","https://maps.app.goo.gl/khZ9TLm2TXG3yZ2r7","DR B G Ramesh","9845357634","9am -1Hpomlidaanyds 3pm-","General Treatment And Minor"
"","","","","","K S Road, Jalahalli Village, Jalahalli, Bengaluru, Bengaluru","","","","5pm on weekdays.","surgeries"
"","","","","","North taluk ,Bangalore 560013","","","","9am to 1pm on",""
"","","9","Veterinary Hospital","Gantiganahalli","Government Veterinary Dispensary, NITTE Meenakshi College","https://maps.app.goo.gl/CafbnBgEddddxkxf6","Dr Vishwanath chowdary","9448517780","9am -1Hpomlidaanyds 3pm-","General Treatment And Minor"
"","","","","","Rd, BSF Campus, Ganganahalli, Bengaluru, Karnataka 560064","","","","5pm on weekdays.","surgeries"
"","","","","","","","","","9am to 1pm on",""
